English,Sinhala
part,කොටස
history,ඉතිහාසය
search,සොයන්න
only,පමණි
police,පොලිසිය
thought,කියලා හිතුවා
help,උදව්
request,ඉල්ලීම
kind,කාරුණික
month,මාසය
brother,සහෝදරයා
let,ඉඩ දෙන්න
because,මොකද
to put,තැබීමට
no,නැත
leash,පටි
them,ඔවුන්
city,නගරය
each,එක් එක්
speak,කතා කරනවා
come,එන්න
should,යුතුය
baby,බබා
long time,දිගු කාලය
hours,පැය
will,කැමැත්ත
while,අතර
meet again,නැවත හමුවෙනවා
any,ඕනෑම
square,හතරැස්
speak,කතා කරනවා
understood,තේරුම් ගත්තා
knew,දැන සිටියේය
were,විය
Warning,අවවාදයයි
here is,මෙන්න
could,හැකි විය
case,නඩුව
give,දෙනවා
type,වර්ගය
their,ඔවුන්ගේ
given,ලබා දී ඇත
train,දුම්රිය
body,ශරීරය
place,ස්ථානය
eyes,ඇස්
way,මාර්ගය
listen,සවන් දෙන්න
whose,කාගේ
find,සොයාගන්න
first,පළමුව
lost,නැති වුණා
hand,අත
first,පළමුව
side,පැත්ත
power,බලය
old,පැරණි
be,විය
here,මෙතන
morning,උදෑසන
so much,බොහෝ
child,දරුවා
point,ලක්ෂ්යය
came,ආවා
after,පසු
sorry,සමාවෙන්න
come,එන්න
in front of,ඉදිරිපස
towards,දෙසට
minutes,මිනිත්තු
request,ඉල්ලීම
bedroom,නිදන කාමරය
placed,තබා ඇත
beautiful,ලස්සනයි
law,නීතිය
would like to,කැමතියි
today,අද
husband,සැමියා
cause,හේතුව
finally,අවසාන වශයෙන්
hope,බලාපොරොත්තුව
water,ජලය
Wait,ඉන්න
left,අත්හැරියා
new,අලුත්
job,රැකියාව
Stop,නවත්වන්න
would say,කියාවි
Earth,පෘථිවිය
account,ගිණුම
given,ලබා දී ඇත
far,දුරින්
end,අවසානය
believe,විශ්වාස කරනවා
sweetheart,සොඳුරිය
large,විශාල
rather,ඒ වෙනුවට
will have,ඇති වනු ඇත
girls,ගැහැණු ළමයින්
to play,සෙල්ලම් කිරීමට
office,කාර්යාලය
